web_scraper_order,web_scraper_start_url,price_raw,distance_zentrum,distance_skilift,zimmer_grösse
"1763924145-31","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 358","Zentrum: 1,4 km","250 m vom Skilift entfernt","Zweibettzimmer"
"1763924145-32","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 156","Zentrum: 1,9 km","600 m vom Skilift entfernt","Doppelzimmer mit Balkon"
"1763924145-33","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 210","Zentrum: 4,1 km","2 km vom Skilift entfernt","Comfort Doppelzimmer"
"1763924145-34","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 456","Zentrum: 400 m","1,1 km vom Skilift entfernt","Executive Dreibettzimmer"
"1763924145-35","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 68","Zentrum: 7,3 km","1,5 km vom Skilift entfernt","Bett im 6-Bett-Schlafsaal"
"1763924145-36","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 234","Zentrum: 1,3 km","700 m vom Skilift entfernt","Einzelzimmer mit Bergblick"
"1763924145-37","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 401","Zentrum: 1,1 km","250 m vom Skilift entfernt","Studio-Apartment"
"1763924145-38","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 366","Zentrum: 0,8 km","350 m vom Skilift entfernt","Superior Deluxe Doppel-/ Zweibettzimmer"
"1763924145-39","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 166","Zentrum: 6,9 km","2,5 km vom Skilift entfernt","Doppelzimmer mit Gemeinschaftsbad"
"1763924145-40","https://www.booking.com/searchresults.de.html?aid=2311236&label=de-ch-booking-desktop-AwtDBrnbKfbY5w%2AnVlwfWAS652829000584%3Apl%3Ata%3Ap1%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-65526620%3Alp9186614%3Ali%3Adec%3Adm&sid=a1a891d30b0c3179baebcd36e7c22785&checkin=2025-12-19&checkout=2025-12-20&dest_id=-2551753&dest_type=city&srpvid=58fd5de4d66bb54ce3856ada14283a43&","CHF 531","Zentrum: 1 km","150 m vom Skilift entfernt","Apartment mit Blick auf die Berge"
